run,bend_no,feed_before_ft,feed_before_mm,angle_deg,roll_deg,roll_dir
132,4,1.65,502.9,45.0,180.0,
133,1,3.83,1168.4,45.0,0,
133,2,1.65,502.9,45.0,180.0,
133,3,2.67,812.8,45.0,0.0,
133,4,1.65,502.9,45.0,180.0,
134,1,3.83,1168.4,45.0,0,
134,2,1.65,502.9,45.0,180.0,
134,3,2.67,812.8,45.0,0.0,
134,4,1.65,502.9,45.0,180.0,
135,1,3.82,1165.2,45.0,0,
135,2,1.65,502.9,45.0,180.0,
135,3,2.67,812.8,45.0,0.0,
135,4,1.65,502.9,45.0,180.0,
136,1,1.49,454.0,45.0,0,
136,2,1.65,502.9,45.0,180.0,
136,3,2.67,812.8,45.0,0.0,
136,4,1.65,502.9,45.0,180.0,
137,1,1.49,454.0,45.0,0,
137,2,1.65,502.9,45.0,180.0,
137,3,2.67,812.8,45.0,0.0,
137,4,1.65,502.9,45.0,180.0,
138,1,1.49,454.0,45.0,0,
138,2,1.65,502.9,45.0,180.0,
138,3,2.67,812.8,45.0,0.0,
138,4,1.65,502.9,45.0,180.0,
139,1,2.17,660.4,90.0,0,
159,1,7.96,2425.7,90.0,0,
160,1,1.37,418.3,45.0,0,
160,2,1.54,468.0,45.0,180.0,
160,3,2.18,665.7,45.0,0.0,
160,4,1.54,468.0,45.0,180.0,
161,1,3.08,939.8,90.0,0,
