run,piece,pieces_in_run,length_ft,cut_length_ft,start_coupler,end_coupler,num_bends,operations,instructions
18,12,12,4.6,4.6,1,0,0,,tail 4 ft 7-3/16 in
19,1,12,10.0,9.66,0,1,1,90° bend,"feed 2 ft 5-1/2 in, bend 90 (roll 0) ; tail 5 ft 11-1/2 in"
19,2,12,10.0,9.66,1,1,1,90° bend,"feed 1 ft 1/4 in, bend 90 (roll 90 CCW) ; tail 7 ft 4-3/4 in"
19,3,12,10.0,10.0,1,1,0,,tail 10 ft
19,4,12,10.0,10.0,1,1,0,,tail 10 ft
19,5,12,10.0,10.0,1,1,0,,tail 10 ft
19,6,12,10.0,10.0,1,1,0,,tail 10 ft
19,7,12,10.0,10.0,1,1,0,,tail 10 ft
19,8,12,10.0,10.0,1,1,0,,tail 10 ft
19,9,12,10.0,10.0,1,1,0,,tail 10 ft
19,10,12,10.0,10.0,1,1,0,,tail 10 ft
19,11,12,10.0,9.99,1,1,2,"22.5° offset — 9-3/4 in rise, 1-15/16 in shrink (×2.61)","feed 5 ft 1-3/4 in, bend 22.5 (roll 90 CW) ; feed 2 ft 1-7/16 in, bend 22.5 (roll 180) ; tail 2 ft 1-1/4 in"
19,12,12,2.72,2.72,1,0,0,,tail 2 ft 8-9/16 in
20,1,12,10.0,9.66,0,1,1,90° bend,"feed 3 ft 2-1/2 in, bend 90 (roll 0) ; tail 5 ft 2-1/2 in"
20,2,12,10.0,9.9,1,1,2,60° bend; 30° bend,"feed 9-3/4 in, bend 60 (roll 90 CCW) ; feed 2 ft 3/4 in, bend 30 (roll 0) ; tail 5 ft 9-7/16 in"
20,3,12,10.0,9.97,1,1,1,45° bend,"feed 7 ft 1-15/16 in, bend 45 (roll 180) ; tail 2 ft 2-3/16 in"
20,4,12,10.0,9.97,1,1,1,45° bend,"feed 2-5/16 in, bend 45 (roll 0) ; tail 9 ft 1-7/8 in"
20,5,12,10.0,10.0,1,1,0,,tail 10 ft
20,6,12,10.0,10.0,1,1,0,,tail 10 ft
20,7,12,10.0,9.99,1,1,1,30° bend,"feed 6 ft 6-7/8 in, bend 30 (roll 90 CW) ; tail 3 ft 1/16 in"
20,8,12,10.0,9.99,1,1,1,30° bend,"feed 6-1/2 in, bend 30 (roll 180) ; tail 9 ft 7/16 in"
20,9,12,10.0,10.0,1,1,0,,tail 10 ft
20,10,12,10.0,9.93,1,1,2,45° bend; 45° bend,"feed 5 ft 6 in, bend 45 (roll 90 CW) ; feed 2 ft 9-5/16 in, bend 45 (roll 0) ; tail 5 in"
20,11,12,10.0,9.65,1,1,2,30° bend; 90° bend,"feed 2 ft 10-9/16 in, bend 30 (roll 0) ; feed 1 ft 8-3/4 in, bend 90 (roll 90 CW) ; tail 3 ft 4-5/8 in"
20,12,12,1.24,1.24,1,0,0,,tail 1 ft 2-7/8 in
21,1,11,10.0,9.63,0,1,2,90° bend; 45° bend,"feed 4 ft 3-1/2 in, bend 90 (roll 0) ; feed 1 ft 11-13/16 in, bend 45 (roll 90 CW) ; tail 1 ft 5-7/8 in"
21,2,11,10.0,9.93,1,1,2,45° bend; 45° bend,"feed 5 ft 3-1/4 in, bend 45 (roll 180) ; feed 1 ft 7-3/4 in, bend 45 (roll 0) ; tail 1 ft 9-1/4 in"
21,3,11,10.0,10.0,1,1,0,,tail 10 ft
21,4,11,10.0,10.0,1,1,0,,tail 10 ft
21,5,11,10.0,10.0,1,1,0,,tail 10 ft
21,6,11,10.0,10.0,1,1,0,,tail 10 ft
21,7,11,10.0,10.0,1,1,0,,tail 10 ft
21,8,11,10.0,10.0,1,1,0,,tail 10 ft
21,9,11,10.0,10.0,1,1,0,,tail 10 ft
21,10,11,10.0,9.75,1,1,2,10° bend; 82.7° bend,"feed 2 ft 11-13/16 in, bend 10 (roll 90 CW) ; feed 1 ft 1-5/16 in, bend 82.7 (roll 90 CW) ; tail 4 ft 4-7/16 in"
21,11,11,9.97,9.97,1,0,0,,tail 9 ft 11-11/16 in
